loan_id,age,gender,marital_status,dependents,education,employment_status,employment_years,annual_income,credit_score,previous_default,existing_loans_count,loan_purpose,loan_amount,loan_term_months,interest_rate,property_ownership,savings_balance,collateral_value,debt_to_income_ratio,loanapproval
LN102540,30,Female,Single,1,Bachelor's,Self-Employed,6.1,40801,633,0,1,Business,33500,180,10.18,Mortgage,1661,33087,0.081,1
LN102541,24,Male,Married,2,Bachelor's,Employed,2.9,14886,547,0,2,Personal,1600,60,13.74,Mortgage,306,0,0.65,1
LN102542,35,Male,Married,1,Master's,Employed,5.1,47447,535,1,2,Education,9000,12,15.03,Rent,75160,0,0.337,0
LN102543,34,Female,Single,0,Bachelor's,Employed,7.3,19812,504,0,0,Business,14100,180,15.13,Own,11402,17582,0.047,1
LN102544,64,Male,Married,1,High School,Employed,11.3,21468,607,0,1,Home,34300,12,8.46,Own,1806,36523,1.5,0
LN102545,42,Female,Widowed,2,Bachelor's,Self-Employed,19.5,66841,709,0,0,Personal,12400,60,9.49,Mortgage,4047,0,0.037,1
LN102546,22,Male,Single,2,Bachelor's,Employed,1.9,112749,594,0,2,Debt Consolidation,23700,120,10.6,Rent,7624,0,0.078,1
LN102547,31,Male,Married,0,High School,Self-Employed,4.5,14439,600,0,0,Personal,1400,84,13.12,Mortgage,10059,0,0.014,1
LN102548,49,Male,Single,1,Bachelor's,Employed,12.5,44239,525,0,1,Home,71800,360,12.08,Own,3831,72348,0.161,0
LN102549,60,Male,Single,3,Associate,Employed,25.9,32824,647,0,3,Personal,6100,60,10.31,Own,646,0,0.326,1
LN102550,20,Male,Married,2,Master's,Employed,0.8,33711,634,0,2,Auto,3600,60,10.25,Own,492,4555,0.103,1
LN102551,18,Female,Divorced,0,Bachelor's,Employed,0.0,40082,511,1,7,Business,31200,36,16.25,Mortgage,1472,33993,0.558,0
LN102552,58,Male,Married,2,Master's,Retired,28.1,42439,659,0,1,Education,19900,60,9.16,Own,4081,0,0.164,1
LN102553,42,Male,Married,2,High School,Self-Employed,14.1,28091,587,0,2,Medical,5700,360,11.14,Own,1642,0,0.103,1
LN102554,28,Female,Divorced,1,Master's,Employed,0.6,20367,540,0,2,Home,12700,48,11.39,Rent,2588,13903,0.537,0
LN102555,43,Male,Single,0,Bachelor's,Employed,8.0,37711,492,0,0,Auto,3700,48,14.65,Own,395,4178,0.025,0
LN102556,18,Male,Married,3,Master's,Employed,0.0,60974,500,0,2,Business,39900,84,14.32,Mortgage,998,38563,0.144,1
LN102557,38,Female,Married,1,Bachelor's,Employed,2.8,14270,568,0,0,Auto,3400,36,12.25,Rent,2208,3899,0.079,1
LN102558,41,Female,Divorced,0,High School,Employed,5.9,15766,545,0,1,Education,2000,12,13.98,Own,5282,0,0.383,1
LN102559,48,Male,Married,0,Master's,Employed,28.1,33385,621,0,0,Business,30700,120,8.68,Mortgage,332,37304,0.092,0
LN102560,26,Male,Divorced,1,Bachelor's,Self-Employed,2.8,33574,631,0,2,Home,52500,360,9.62,Rent,1330,62613,0.146,1
LN102561,38,Female,Single,4,Master's,Employed,13.5,74749,526,0,3,Home,82900,48,15.46,Rent,11889,74932,0.366,0
LN102562,27,Male,Married,1,High School,Employed,0.4,19908,618,0,1,Education,9100,48,9.97,Rent,1250,0,0.211,1
LN102563,40,Female,Married,0,Bachelor's,Self-Employed,10.5,88085,550,0,2,Personal,16600,24,9.7,Mortgage,4991,0,0.146,1
LN102564,28,Female,Married,1,Bachelor's,Employed,3.7,42262,552,0,0,Home,41100,24,13.9,Rent,2727,42489,0.486,0
LN102565,33,Female,Married,1,PhD,Employed,10.2,58036,556,0,0,Business,46400,120,14.03,Own,5442,51431,0.08,1
LN102566,27,Male,Single,0,Associate,Employed,2.6,28057,499,0,1,Personal,4800,360,14.11,Mortgage,5110,0,0.075,1
LN102567,45,Male,Single,1,High School,Employed,16.8,9703,678,0,2,Personal,2000,24,9.0,Own,527,0,0.382,1
LN102568,47,Female,Single,2,Master's,Retired,8.4,28645,579,0,5,Education,11800,360,12.13,Own,4532,0,0.364,1
LN102569,35,Male,Divorced,0,High School,Unemployed,0.0,8000,618,0,2,Medical,1400,120,11.54,Mortgage,862,0,0.651,0
LN102570,38,Male,Divorced,0,Master's,Employed,9.0,130781,578,0,2,Home,257900,240,12.9,Rent,18610,257569,0.164,1
LN102571,22,Female,Single,3,High School,Self-Employed,1.8,14208,533,0,3,Education,4400,180,11.23,Mortgage,2076,0,0.513,0
LN102572,34,Male,Divorced,0,High School,Retired,3.0,30161,487,0,0,Auto,6000,84,14.34,Own,2287,6131,0.028,1
LN102573,37,Male,Single,0,High School,Employed,5.5,32973,477,0,0,Medical,3300,120,13.4,Own,2316,0,0.01,1
LN102574,66,Female,Married,2,Master's,Unemployed,0.0,8000,570,1,3,Medical,1000,360,11.37,Own,179,0,1.197,0
LN102575,25,Male,Single,3,Bachelor's,Employed,0.9,24783,550,0,4,Home,41000,60,10.53,Mortgage,4728,48316,0.787,0
LN102576,54,Male,Divorced,1,Bachelor's,Employed,15.4,81773,665,0,0,Auto,20100,180,8.18,Mortgage,4309,23533,0.016,1
LN102577,48,Male,Married,0,Bachelor's,Retired,16.3,34654,722,0,2,Auto,11000,60,10.69,Rent,899,13166,0.281,1
LN102578,41,Female,Single,0,Bachelor's,Employed,5.7,62088,517,1,0,Auto,17600,84,14.64,Rent,4381,22565,0.04,0
LN102579,57,Male,Married,0,Bachelor's,Self-Employed,5.1,30890,544,0,2,Personal,3500,120,11.77,Rent,3863,0,0.31,0
LN102580,42,Male,Single,1,High School,Employed,6.9,13883,585,0,3,Personal,2300,24,11.39,Own,235,0,0.949,0
LN102581,42,Female,Married,2,PhD,Retired,2.7,8000,499,0,1,Debt Consolidation,2500,84,14.04,Own,653,0,0.632,0
LN102582,37,Female,Single,1,High School,Employed,8.1,12282,569,0,0,Auto,3900,12,11.49,Own,1414,5025,0.318,1
LN102583,51,Male,Single,2,PhD,Employed,12.2,39229,557,0,1,Debt Consolidation,12900,36,14.61,Mortgage,1078,0,0.169,0
LN102584,50,Female,Divorced,0,Bachelor's,Employed,16.1,62140,583,0,2,Auto,6200,24,12.08,Own,2971,5640,0.162,1
LN102585,31,Male,Married,1,Bachelor's,Employed,7.1,20827,493,0,1,Education,6900,60,11.67,Mortgage,1091,0,0.132,0
LN102586,23,Female,Single,2,High School,Self-Employed,1.5,9594,555,0,2,Education,4100,60,11.46,Own,1439,0,0.453,0
LN102587,35,Male,Single,1,High School,Self-Employed,10.2,18787,576,0,1,Personal,2900,12,9.62,Rent,626,0,0.227,0
LN102588,29,Male,Single,0,Bachelor's,Employed,4.4,26685,540,0,2,Auto,7000,12,13.09,Own,1271,8837,0.47,0
LN102589,37,Female,Single,3,High School,Employed,10.1,24661,600,0,3,Personal,3400,24,9.9,Own,1762,0,0.328,0
LN102590,51,Male,Married,2,Bachelor's,Employed,11.9,155739,638,0,1,Home,133600,60,12.05,Own,12412,124039,0.183,1
LN102591,32,Male,Single,2,Bachelor's,Employed,5.0,42889,703,0,0,Business,32500,12,6.32,Own,10558,33205,0.758,0
LN102592,37,Male,Married,2,High School,Unemployed,0.0,8000,592,1,5,Education,3500,48,13.33,Own,961,0,1.5,0
LN102593,38,Female,Married,1,Bachelor's,Employed,8.9,46245,627,0,3,Personal,7500,84,12.02,Own,4938,0,0.197,1
LN102594,47,Male,Single,3,Associate,Unemployed,0.0,22327,466,1,3,Business,12600,24,18.04,Mortgage,306,12437,0.614,0
LN102595,18,Male,Divorced,0,Bachelor's,Employed,0.0,13022,528,0,2,Personal,2400,36,12.73,Own,1911,0,0.328,0
LN102596,31,Male,Single,1,Master's,Unemployed,0.0,21293,505,0,2,Business,18800,84,13.14,Own,40,17156,0.375,0
LN102597,40,Male,Married,0,High School,Employed,6.1,37793,545,0,4,Debt Consolidation,6500,180,11.82,Own,2140,0,0.366,0
LN102598,51,Male,Married,0,High School,Self-Employed,14.1,11815,582,0,3,Auto,4100,60,11.68,Own,185,4182,0.391,1
LN102599,32,Male,Single,1,Bachelor's,Employed,8.6,25298,547,0,2,Auto,8200,60,13.54,Own,3003,10184,0.178,1
LN102600,18,Male,Single,2,Master's,Unemployed,0.0,8000,517,0,2,Personal,1000,24,11.34,Own,308,0,0.657,0
LN102601,44,Male,Single,1,Bachelor's,Employed,10.7,17176,629,0,1,Business,6000,60,10.9,Mortgage,1018,5572,0.258,1
LN102602,31,Female,Divorced,1,Bachelor's,Self-Employed,5.8,28397,516,0,0,Medical,6600,36,15.22,Own,3687,0,0.077,0
LN102603,24,Female,Married,2,High School,Unemployed,0.0,8000,531,0,3,Education,1500,36,11.22,Rent,1672,0,1.377,0
LN102604,31,Female,Married,0,Associate,Self-Employed,3.8,39321,519,0,1,Business,41500,240,13.85,Rent,263,45356,0.159,0
LN102605,35,Male,Married,0,Bachelor's,Employed,4.7,79188,551,0,2,Business,45000,36,10.07,Rent,6771,51863,0.24,0
LN102606,31,Female,Married,3,High School,Self-Employed,5.4,16068,536,0,0,Auto,1600,48,14.3,Rent,2277,1809,0.025,1
LN102607,18,Male,Single,1,Bachelor's,Employed,0.0,17944,601,0,0,Medical,1900,48,9.22,Own,857,0,0.026,1
LN102608,47,Female,Single,2,High School,Employed,8.5,45837,512,0,4,Personal,7200,48,14.06,Own,4104,0,0.229,0
LN102609,52,Male,Single,1,Bachelor's,Employed,6.6,18965,551,0,0,Medical,4200,240,11.9,Rent,107,0,0.011,1
LN102610,45,Male,Married,1,Master's,Unemployed,0.0,8000,537,0,1,Home,10900,360,12.62,Rent,865,10390,0.622,0
LN102611,25,Male,Single,0,Bachelor's,Employed,0.9,23870,456,0,1,Auto,8100,36,14.46,Own,644,7722,0.212,0
LN102612,35,Male,Single,1,Bachelor's,Employed,11.1,57129,547,0,1,Medical,13100,180,14.32,Rent,4702,0,0.077,1
LN102613,37,Female,Single,1,Bachelor's,Retired,5.0,26570,599,0,2,Education,6900,12,11.17,Rent,1700,0,0.398,0
LN102614,44,Female,Single,6,Bachelor's,Self-Employed,11.7,73096,626,0,1,Debt Consolidation,14300,240,11.63,Rent,4800,0,0.068,1
LN102615,45,Female,Married,3,Bachelor's,Self-Employed,9.6,22278,586,0,0,Personal,1300,240,11.74,Own,2195,0,0.01,1
LN102616,29,Female,Single,1,Bachelor's,Employed,2.7,58433,588,0,2,Auto,13200,36,11.48,Rent,6204,12114,0.117,0
LN102617,38,Male,Single,2,High School,Self-Employed,0.3,20962,660,0,1,Home,31300,360,9.55,Rent,398,33203,0.151,1
LN102618,43,Male,Single,1,Bachelor's,Employed,5.2,12949,560,0,0,Business,4100,240,11.19,Rent,777,4503,0.016,1
LN102619,54,Female,Single,0,Associate,Employed,24.8,71055,567,0,2,Personal,9900,60,11.12,Rent,6824,0,0.091,1
LN102620,45,Female,Single,0,Master's,Employed,8.1,48935,519,0,1,Home,93200,60,11.93,Mortgage,2076,87164,0.457,0
LN102621,46,Female,Single,0,Bachelor's,Employed,13.6,85412,604,0,2,Home,171400,24,11.76,Mortgage,7392,186747,1.088,0
LN102622,38,Male,Married,0,Master's,Employed,8.8,92034,592,0,2,Home,158800,12,9.99,Rent,1526,165498,1.5,0
LN102623,53,Female,Married,2,Bachelor's,Employed,24.7,75999,601,0,3,Debt Consolidation,20300,120,10.74,Own,602,0,0.133,1
LN102624,42,Female,Single,2,High School,Unemployed,0.0,22634,590,0,0,Debt Consolidation,3800,36,10.37,Mortgage,1217,0,0.056,0
LN102625,28,Male,Single,1,Master's,Self-Employed,5.5,25815,633,0,3,Home,33400,360,9.27,Mortgage,2024,42871,0.592,0
LN102626,53,Male,Single,1,High School,Retired,20.3,55513,599,0,1,Business,26500,360,10.8,Mortgage,2652,31388,0.092,1
LN102627,45,Male,Single,1,Master's,Self-Employed,19.1,47428,533,0,1,Personal,5900,240,13.25,Own,4655,0,0.091,1
LN102628,33,Female,Widowed,1,Bachelor's,Self-Employed,10.5,65787,619,0,0,Education,9600,12,11.71,Mortgage,716,0,0.146,1
LN102629,32,Male,Divorced,1,Master's,Employed,13.1,52230,571,0,1,Business,42300,360,8.48,Mortgage,1893,52407,0.062,1
LN102630,41,Male,Single,0,High School,Employed,3.8,38622,556,0,0,Education,6000,36,10.6,Own,13141,0,0.052,1
LN102631,43,Male,Married,0,Bachelor's,Employed,20.5,39047,572,0,2,Debt Consolidation,15400,180,10.68,Rent,6325,0,0.148,1
LN102632,40,Male,Single,0,High School,Employed,16.4,62476,573,0,1,Home,90700,360,11.71,Own,9370,85847,0.107,1
LN102633,41,Male,Single,1,High School,Employed,4.3,36248,486,1,4,Business,34400,84,15.73,Mortgage,1012,31799,0.263,0
LN102634,56,Male,Married,2,Master's,Unemployed,0.0,8000,534,1,1,Home,11400,36,15.77,Own,361,14499,0.812,0
LN102635,49,Female,Single,0,Master's,Unemployed,0.0,13770,530,0,0,Debt Consolidation,5700,180,11.74,Own,1881,0,0.028,0
LN102636,40,Female,Married,2,PhD,Self-Employed,13.9,87607,573,0,1,Education,34100,48,12.65,Mortgage,1022,0,0.129,1
LN102637,48,Male,Married,2,High School,Employed,10.2,36543,491,0,3,Personal,3600,24,12.83,Own,5155,0,0.274,1
LN102638,26,Female,Married,1,Master's,Employed,3.2,26456,591,0,0,Home,28300,36,9.0,Mortgage,2851,32555,0.357,0
LN102639,42,Female,Widowed,0,Master's,Retired,12.5,27347,499,0,2,Personal,3800,24,13.87,Rent,2271,0,0.186,1
LN102640,57,Male,Married,1,Bachelor's,Self-Employed,3.6,43999,577,1,4,Medical,8600,180,14.37,Mortgage,4729,0,0.373,0
LN102641,35,Male,Married,1,Bachelor's,Employed,9.9,33704,595,0,1,Personal,2200,120,11.31,Rent,3717,0,0.116,1
LN102642,28,Male,Single,1,Bachelor's,Employed,7.6,113172,532,0,1,Education,33800,48,12.31,Own,3348,0,0.094,1
LN102643,30,Male,Single,0,Bachelor's,Unemployed,0.0,8000,503,0,4,Auto,1700,24,12.56,Rent,1041,1844,1.5,0
LN102644,26,Male,Married,1,Master's,Employed,6.5,27703,604,0,1,Auto,9000,48,9.44,Rent,14969,8899,0.182,1
LN102645,29,Female,Widowed,1,Bachelor's,Retired,1.4,21165,519,0,0,Business,16700,36,11.87,Mortgage,8346,15762,0.263,0
LN102646,33,Male,Married,1,Bachelor's,Employed,9.5,16190,435,1,5,Education,5500,36,19.2,Mortgage,4413,0,1.5,0
LN102647,22,Female,Widowed,2,High School,Employed,2.7,24146,578,0,4,Education,9600,240,13.2,Mortgage,1278,0,0.47,1
LN102648,38,Male,Single,1,Master's,Employed,6.8,27678,537,0,3,Personal,1900,24,12.49,Mortgage,1913,0,0.212,0
LN102649,47,Female,Single,0,High School,Employed,3.8,14663,541,0,1,Business,4200,120,13.71,Mortgage,141,4915,0.224,0
LN102650,28,Male,Single,1,High School,Employed,5.3,34033,543,0,2,Business,36600,120,10.44,Own,111,44326,0.3,1
LN102651,54,Female,Married,0,Master's,Self-Employed,15.5,19276,618,0,1,Auto,2700,84,9.51,Rent,4862,2771,0.126,1
LN102652,43,Female,Married,0,Master's,Employed,5.9,38232,647,0,1,Business,24100,84,8.86,Rent,3302,24600,0.175,0
LN102653,49,Female,Single,2,High School,Self-Employed,8.2,50422,683,0,1,Medical,7700,84,8.67,Mortgage,1449,0,0.047,1
LN102654,30,Male,Divorced,1,Associate,Employed,7.1,15843,627,0,1,Debt Consolidation,5800,84,9.84,Rent,1548,0,0.267,1
LN102655,47,Female,Married,1,Master's,Employed,7.4,45140,568,0,1,Personal,5400,240,12.76,Mortgage,1462,0,0.041,1
LN102656,25,Female,Married,1,Master's,Employed,3.8,129214,633,0,1,Education,46900,36,10.72,Mortgage,6006,0,0.15,0
LN102657,47,Female,Married,1,Master's,Employed,8.2,91175,504,0,2,Home,56100,180,12.71,Rent,47106,60201,0.102,1
LN102658,39,Male,Single,0,Bachelor's,Employed,4.4,28442,597,0,1,Debt Consolidation,3600,24,10.32,Mortgage,2044,0,0.229,1
LN102659,44,Female,Married,4,Bachelor's,Employed,5.6,23033,532,0,1,Auto,4900,12,12.75,Rent,1714,6142,0.302,0
LN102660,25,Male,Single,1,PhD,Employed,5.5,75137,505,0,2,Home,151900,48,13.88,Mortgage,8371,170818,0.602,0
LN102661,28,Female,Single,3,High School,Employed,6.6,19620,626,0,1,Business,20300,24,11.14,Mortgage,744,23524,0.59,0
LN102662,44,Male,Married,0,Master's,Employed,7.0,118331,668,0,2,Business,89400,36,6.86,Rent,10228,94387,0.324,1
LN102663,27,Male,Divorced,1,Bachelor's,Self-Employed,2.7,51137,652,0,1,Debt Consolidation,8900,84,10.82,Rent,5456,0,0.077,1
LN102664,43,Male,Married,2,Bachelor's,Employed,8.9,14261,522,0,0,Debt Consolidation,4800,360,13.56,Rent,842,0,0.011,1
LN102665,22,Male,Married,3,Bachelor's,Self-Employed,2.3,16728,447,1,1,Business,7200,60,16.64,Mortgage,362,8350,0.155,0
LN102666,47,Female,Married,3,Bachelor's,Unemployed,0.0,8000,620,0,2,Personal,1200,240,10.05,Own,1642,0,1.101,0
LN102667,24,Male,Single,3,Master's,Retired,4.5,18618,510,0,2,Auto,3300,48,12.78,Mortgage,964,3571,0.445,0
LN102668,44,Male,Married,0,High School,Employed,18.4,25394,575,0,3,Home,21200,48,11.97,Mortgage,2274,19857,0.599,0
LN102669,44,Female,Married,1,Bachelor's,Self-Employed,5.7,50069,658,0,4,Education,8900,240,9.78,Own,1281,0,0.195,1
LN102670,30,Male,Single,1,Bachelor's,Employed,4.2,17969,485,0,2,Personal,1500,36,14.41,Mortgage,332,0,0.324,0
LN102671,44,Male,Single,0,Master's,Employed,18.8,23945,557,0,1,Medical,3600,48,11.49,Rent,776,0,0.187,0
LN102672,40,Female,Single,1,Bachelor's,Employed,15.4,21548,519,0,1,Education,2900,12,14.11,Mortgage,2780,0,0.231,0
LN102673,32,Male,Single,1,Bachelor's,Self-Employed,6.7,29607,557,0,2,Medical,2900,360,10.65,Own,2378,0,0.275,1
LN102674,26,Male,Single,2,Bachelor's,Self-Employed,6.7,53579,567,0,0,Home,100700,48,12.34,Rent,4225,92733,0.47,0
LN102675,18,Male,Single,4,Bachelor's,Self-Employed,0.0,19740,483,0,2,Home,29900,60,11.87,Mortgage,4262,38586,0.588,0
LN102676,41,Female,Married,1,Associate,Employed,4.0,36433,552,0,1,Home,69800,60,14.61,Mortgage,1051,63789,0.421,1
LN102677,20,Female,Married,1,Bachelor's,Unemployed,0.0,8000,560,0,2,Business,6600,60,14.1,Rent,1622,7027,1.14,0
LN102678,39,Male,Married,1,High School,Self-Employed,3.8,14926,586,0,0,Home,25600,48,11.6,Own,6577,29115,0.429,1
LN102679,35,Male,Single,0,Master's,Retired,11.9,25424,580,0,4,Business,18500,24,10.56,Mortgage,10275,22745,0.855,0
LN102680,45,Male,Married,1,Bachelor's,Self-Employed,10.7,34429,589,0,1,Business,21300,84,11.11,Mortgage,1547,21644,0.123,1
LN102681,34,Female,Single,2,PhD,Self-Employed,9.3,137987,557,0,3,Debt Consolidation,32300,360,12.9,Rent,6846,0,0.081,1
LN102682,34,Male,Married,0,High School,Unemployed,0.0,8000,602,0,2,Debt Consolidation,2900,60,11.19,Own,2940,0,1.136,0
LN102683,46,Female,Single,0,Bachelor's,Self-Employed,10.1,20871,582,0,4,Personal,3200,12,12.59,Own,2438,0,0.435,1
LN102684,41,Male,Married,2,High School,Employed,14.3,62636,672,0,1,Home,74600,36,9.21,Own,5403,71418,0.438,1
LN102685,41,Female,Single,2,Bachelor's,Employed,12.4,80744,637,0,0,Home,119300,36,8.79,Own,6995,139022,0.493,1
LN102686,43,Female,Married,3,Master's,Employed,3.1,24382,608,0,1,Personal,4400,36,12.13,Mortgage,2201,0,0.158,1
LN102687,21,Female,Divorced,0,Master's,Self-Employed,1.0,24537,484,0,1,Personal,3900,60,13.37,Own,2290,0,0.101,0
LN102688,46,Male,Married,1,Master's,Employed,3.5,31414,723,0,1,Auto,5400,360,7.7,Rent,776,6216,0.113,1
LN102689,44,Female,Single,1,Bachelor's,Employed,18.9,20120,592,0,1,Home,32300,84,11.71,Rent,1338,41381,0.427,1
LN102690,26,Male,Single,1,Bachelor's,Employed,4.3,53516,622,0,0,Home,73700,48,11.4,Rent,4896,79277,0.344,1
LN102691,35,Male,Divorced,1,Bachelor's,Employed,3.5,52480,604,0,1,Education,22000,180,10.72,Own,1096,0,0.108,1
LN102692,37,Male,Married,1,Bachelor's,Self-Employed,2.3,42310,523,0,2,Personal,8300,180,13.83,Own,22135,0,0.212,0
LN102693,36,Female,Divorced,1,PhD,Employed,11.0,47092,536,0,2,Home,93100,24,13.83,Rent,8014,110124,1.05,0
LN102694,41,Female,Married,1,High School,Self-Employed,16.9,31791,584,0,1,Personal,6100,48,11.99,Mortgage,933,0,0.167,1
LN102695,53,Male,Divorced,0,Bachelor's,Employed,14.5,32440,529,0,0,Personal,2800,24,11.59,Own,39073,0,0.043,1
LN102696,49,Female,Divorced,1,Bachelor's,Employed,2.3,27813,656,0,0,Debt Consolidation,4300,12,7.66,Own,1830,0,0.155,1
LN102697,23,Male,Married,2,Master's,Employed,0.1,39351,574,0,2,Home,30200,36,11.24,Own,4152,30420,0.457,0
LN102698,44,Female,Single,2,Master's,Employed,7.9,51255,654,0,1,Education,17400,60,11.36,Own,3024,0,0.148,1
LN102699,52,Female,Married,0,High School,Employed,7.9,30734,610,0,0,Education,4100,84,12.11,Own,19841,0,0.019,0
LN102700,42,Female,Divorced,0,High School,Employed,11.1,13866,506,0,0,Business,7500,60,13.14,Rent,1653,6799,0.108,1
LN102701,50,Male,Divorced,1,PhD,Employed,3.8,47736,601,0,4,Home,92600,84,10.85,Own,1913,101755,0.448,0
LN102702,60,Female,Single,2,Bachelor's,Employed,1.9,35439,618,0,1,Home,36800,24,10.36,Rent,151,40673,0.643,1
LN102703,49,Female,Married,1,High School,Employed,26.7,27348,600,0,0,Medical,3000,12,11.03,Rent,4548,0,0.11,1
LN102704,40,Female,Divorced,2,High School,Self-Employed,3.2,8563,492,1,6,Business,4300,360,16.61,Mortgage,2371,4007,0.689,0
LN102705,49,Male,Married,2,Associate,Employed,16.3,28749,557,0,1,Home,44200,24,9.43,Own,1179,47375,0.902,0
LN102706,39,Female,Divorced,2,Bachelor's,Employed,5.9,28731,580,0,1,Auto,10200,24,13.09,Rent,14262,9810,0.22,1
LN102707,38,Female,Married,4,Bachelor's,Employed,11.6,23851,616,0,4,Home,15700,24,10.82,Own,3329,19585,0.863,1
LN102708,34,Male,Divorced,1,Master's,Unemployed,0.0,14947,474,1,5,Personal,1600,180,17.48,Mortgage,476,0,0.386,0
LN102709,55,Male,Single,1,Bachelor's,Employed,28.0,69130,595,0,0,Debt Consolidation,9600,240,12.32,Mortgage,2573,0,0.01,1
LN102710,28,Male,Single,0,Bachelor's,Retired,0.6,26598,593,0,1,Debt Consolidation,10400,24,10.98,Rent,953,0,0.235,1
LN102711,54,Female,Single,1,Bachelor's,Unemployed,0.0,8000,480,1,3,Home,4600,84,16.18,Rent,138,5456,1.5,0
LN102712,43,Male,Divorced,0,Master's,Employed,16.2,29114,574,0,0,Education,5000,36,9.06,Rent,6287,0,0.057,1
LN102713,22,Male,Married,0,Master's,Employed,0.7,91845,585,0,2,Home,133100,24,14.34,Mortgage,1683,138423,0.82,0
LN102714,42,Female,Single,1,High School,Self-Employed,4.2,49932,623,1,1,Business,39500,180,11.63,Own,3584,44333,0.103,1
LN102715,18,Female,Single,1,High School,Employed,0.0,31374,563,0,4,Auto,7700,36,9.73,Rent,2573,7162,0.655,0
LN102716,44,Male,Single,1,Bachelor's,Self-Employed,13.3,24414,567,0,0,Personal,4300,360,10.09,Own,1588,0,0.01,1
LN102717,47,Male,Married,0,Bachelor's,Employed,7.1,53440,587,0,0,Personal,8600,84,10.92,Own,1201,0,0.023,1
LN102718,31,Female,Married,2,Bachelor's,Retired,2.3,47250,577,0,0,Business,19800,36,12.88,Own,17351,24814,0.14,1
LN102719,39,Female,Married,0,Bachelor's,Employed,8.1,125395,641,0,1,Home,146900,120,9.84,Own,5876,134024,0.144,1
LN102720,59,Male,Single,1,Master's,Employed,12.9,27191,637,0,2,Business,7900,240,7.76,Own,2062,10001,0.24,1
LN102721,32,Female,Divorced,0,Bachelor's,Retired,6.3,76514,634,0,1,Personal,13200,120,9.52,Mortgage,1358,0,0.069,1
LN102722,26,Male,Single,2,Bachelor's,Self-Employed,2.1,12918,543,0,3,Debt Consolidation,4400,24,12.76,Own,848,0,0.952,0
LN102723,54,Female,Married,2,Bachelor's,Self-Employed,24.0,98875,703,0,2,Personal,18400,36,7.66,Mortgage,4601,0,0.135,1
LN102724,59,Male,Single,2,Bachelor's,Self-Employed,28.0,35596,734,0,2,Education,4700,12,7.34,Own,20025,0,0.277,1
LN102725,38,Male,Single,1,Master's,Employed,13.0,70405,651,0,2,Business,32500,48,11.44,Rent,12269,37007,0.177,1
LN102726,49,Male,Single,1,High School,Employed,9.7,13229,543,0,1,Education,5600,12,12.58,Rent,7088,0,0.592,0
LN102727,52,Male,Married,0,Master's,Retired,18.4,60263,532,0,1,Education,10400,360,12.68,Rent,15187,0,0.056,1
LN102728,29,Female,Married,4,Bachelor's,Employed,8.1,22773,524,0,1,Debt Consolidation,8000,48,12.4,Mortgage,1537,0,0.263,0
LN102729,32,Female,Single,0,High School,Employed,7.0,14505,553,0,1,Personal,2800,180,12.35,Rent,4076,0,0.29,0
LN102730,51,Female,Single,1,High School,Employed,8.2,48359,708,0,0,Home,92100,120,7.87,Mortgage,2539,102188,0.19,0
LN102731,56,Male,Divorced,0,High School,Unemployed,0.0,8000,524,1,6,Auto,2600,12,13.88,Mortgage,402,2461,1.5,0
LN102732,44,Male,Single,2,Master's,Employed,4.5,29395,648,0,2,Auto,4900,60,8.78,Own,7389,4738,0.358,1
LN102733,28,Male,Single,1,Bachelor's,Self-Employed,3.1,81164,605,0,2,Debt Consolidation,23000,48,10.3,Own,2942,0,0.157,0
LN102734,59,Male,Married,1,Master's,Employed,1.2,53853,550,0,2,Education,16100,36,12.06,Rent,3774,0,0.251,0
LN102735,32,Female,Divorced,1,Bachelor's,Self-Employed,6.0,55053,519,0,0,Business,15500,24,11.58,Rent,773,15194,0.141,0
LN102736,34,Male,Single,0,High School,Employed,6.4,18043,543,0,4,Medical,1300,60,13.53,Own,1636,0,0.823,0
LN102737,41,Female,Widowed,0,Master's,Self-Employed,1.3,21842,509,0,1,Personal,4400,180,12.08,Rent,3520,0,0.184,1
LN102738,55,Female,Single,2,Associate,Employed,26.3,31191,558,0,1,Personal,2500,36,12.54,Mortgage,361,0,0.098,1
LN102739,47,Male,Married,0,High School,Employed,12.5,18639,496,0,2,Education,8500,240,14.05,Rent,686,0,0.235,0
LN102740,42,Female,Single,0,High School,Employed,19.4,19893,547,0,1,Auto,5900,24,10.37,Own,1239,6381,0.37,0
LN102741,43,Male,Married,0,Master's,Unemployed,0.0,9649,496,1,0,Auto,1800,24,13.44,Rent,2083,2273,0.093,0
LN102742,38,Male,Single,0,Associate,Self-Employed,2.4,34802,551,0,3,Medical,3300,120,10.38,Rent,3046,0,0.142,0
LN102743,44,Female,Married,0,PhD,Employed,4.7,35622,564,0,0,Education,8600,360,13.01,Rent,3601,0,0.01,1
LN102744,18,Male,Single,1,High School,Unemployed,0.0,8000,480,1,2,Personal,1700,240,17.49,Rent,268,0,1.08,0
LN102745,34,Male,Married,1,Bachelor's,Unemployed,0.0,16583,516,0,0,Medical,1700,84,13.28,Own,5769,0,0.015,0
LN102746,40,Female,Divorced,2,Master's,Employed,11.3,62937,585,0,0,Home,120100,12,10.81,Mortgage,282,141403,1.5,0
LN102747,25,Male,Married,0,Bachelor's,Self-Employed,1.6,76553,615,0,2,Debt Consolidation,10700,360,7.98,Mortgage,5367,0,0.05,1
